,advanced education,non advanced education
0,high<=50K,
1,high<=50K,
2,,low<=50K
3,,low<=50K
4,high<=50K,
5,high<=50K,
6,,low<=50K
7,,low>50K
8,high>50K,
9,high>50K,
10,,low>50K
11,high>50K,
12,high<=50K,
13,,low<=50K
14,,low<=50K
15,,low<=50K
16,,low<=50K
17,,low<=50K
18,high>50K,
19,high>50K,
20,,low<=50K
21,,low<=50K
22,,low<=50K
23,,low<=50K
24,high>50K,
25,,low<=50K
26,,low<=50K
27,,low<=50K
28,,low<=50K
29,,low<=50K
30,high<=50K,
31,,low<=50K
32,,low<=50K
33,,low<=50K
34,,low<=50K
35,,low<=50K
36,,low<=50K
37,,low<=50K
38,high<=50K,
39,high<=50K,
40,,low<=50K
41,,low<=50K
42,high>50K,
43,,low<=50K
44,high<=50K,
45,,low<=50K
46,,low<=50K
47,,low>50K
48,high>50K,
49,,low<=50K
50,,low>50K
51,,low<=50K
52,,low<=50K
53,,low<=50K
54,,low<=50K
55,high<=50K,
56,,low<=50K
57,high>50K,
58,,low<=50K
59,,low<=50K
60,,low<=50K
61,,low>50K
62,,low>50K
63,,low<=50K
64,high<=50K,
65,high>50K,
66,,low<=50K
67,,low<=50K
68,,low<=50K
69,,low<=50K
70,,low<=50K
71,,low<=50K
72,,low<=50K
73,high<=50K,
74,,low<=50K
75,,low<=50K
76,,low>50K
77,,low<=50K
78,,low>50K
79,high<=50K,
80,,low<=50K
81,high>50K,
82,,low<=50K
83,,low<=50K
84,,low<=50K
85,high>50K,
86,,low<=50K
87,high>50K,
88,,low>50K
89,,low<=50K
90,,low<=50K
91,high>50K,
92,high>50K,
93,high<=50K,
94,,low<=50K
95,,low<=50K
96,,low>50K
97,,low<=50K
98,,low<=50K
99,,low<=50K
100,high<=50K,
101,,low>50K
102,,low>50K
103,,low<=50K
104,,low<=50K
105,,low<=50K
106,,low<=50K
107,,low>50K
108,,low<=50K
109,,low<=50K
110,,low<=50K
111,high<=50K,
112,high<=50K,
113,high>50K,
114,,low<=50K
115,high>50K,
116,,low<=50K
117,,low>50K
118,,low<=50K
119,,low<=50K
120,,low<=50K
121,,low<=50K
122,high<=50K,
123,,low<=50K
124,high>50K,
125,,low<=50K
126,,low<=50K
127,,low<=50K
128,,low>50K
129,,low<=50K
130,,low<=50K
131,,low<=50K
132,,low>50K
133,,low<=50K
134,,low<=50K
135,,low<=50K
136,,low<=50K
137,,low<=50K
138,,low<=50K
139,,low<=50K
140,high<=50K,
141,,low<=50K
142,,low<=50K
143,high<=50K,
144,,low<=50K
145,,low<=50K
146,high<=50K,
147,,low<=50K
148,high<=50K,
149,,low<=50K
150,high>50K,
151,,low<=50K
152,,low<=50K
153,high<=50K,
154,,low<=50K
155,,low<=50K
156,,low<=50K
157,,low<=50K
158,,low>50K
159,high<=50K,
160,high>50K,
161,,low<=50K
162,,low<=50K
163,,low<=50K
164,,low<=50K
165,high<=50K,
166,,low>50K
167,,low<=50K
168,,low<=50K
169,,low>50K
170,,low>50K
171,,low<=50K
172,high<=50K,
173,high<=50K,
174,,low<=50K
175,,low<=50K
176,high<=50K,
177,,low<=50K
178,high<=50K,
179,,low<=50K
180,,low<=50K
181,high>50K,
182,high>50K,
183,,low<=50K
184,high<=50K,
185,high>50K,
186,,low<=50K
187,,low<=50K
188,,low<=50K
189,high>50K,
190,,low<=50K
191,,low>50K
192,,low<=50K
193,,low<=50K
194,,low>50K
195,,low<=50K
196,,low<=50K
197,,low>50K
198,high>50K,
199,,low<=50K
200,high<=50K,
201,high<=50K,
202,,low<=50K
203,,low<=50K
204,,low<=50K
205,,low<=50K
206,,low<=50K
207,,low<=50K
208,,low<=50K
209,,low<=50K
210,,low<=50K
211,,low<=50K
212,,low<=50K
213,,low<=50K
214,,low>50K
